t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
8,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
9,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
10,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
11,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
0,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,58,3.1,0,0,0.0,96.9,0,0,0,0,1,0,2,0,0,0.0,0,0,0.5,0,-nan,0.5,0,903,0,-nan,0,310,0.0,0,0
1,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,9828,2.5,0,0,0.0,97.5,0,0,0,0,0,0,3,0,0,0.0,0,0,0.1,0,-nan,0.1,0,47362,335332,-nan,0,1,0.0,0,0
2,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
3,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
4,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
5,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,9896,5.9,0,0,0.2,93.9,0,0,0,0,8268,0,279,0,0,0.0,0,0,0.0,0,-nan,0.1,0,41520,338549,-nan,0,1,0.0,0,0
6,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,2118,5.4,0,0,0.1,94.5,0,0,0,0,40193,0,10,0,0,0.0,0,0,0.1,0,-nan,0.0,0,7869,232935,-nan,0,1,0.0,0,0
7,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
8,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
9,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
0,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,41,2.7,0,0,0.0,97.3,0,0,0,0,1,0,2,0,0,0.0,0,0,0.5,0,-nan,0.5,0,790,0,-nan,0,31,0.0,0,0
1,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,9822,1.7,0,0,0.0,98.3,0,0,0,0,0,0,2,0,0,0.0,0,0,0.1,0,-nan,0.1,0,45070,170621,-nan,0,1,0.0,0,0
2,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,508,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2528,0,-nan,0,0,0.0,0,0
3,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
4,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
5,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,6987,5.9,0,0,0.0,94.1,0,0,0,0,6675,0,113,0,0,0.0,0,0,0.0,0,-nan,0.1,0,33497,424941,-nan,0,1,0.0,0,0
6,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,3182,2.2,0,0,0.1,97.7,0,0,0,0,41497,0,7,0,0,0.0,0,0,0.1,0,-nan,0.0,0,13958,265182,-nan,0,1,0.0,0,0
7,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
8,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
9,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
10,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,7717,3.4,0,0,0.0,96.6,0,0,0,0,42693,0,585,0,0,0.0,0,0,0.0,0,-nan,0.1,0,40834,151226,-nan,0,1,0.0,0,0
11,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1080,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4789,0,-nan,0,0,0.0,0,0
12,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1201,0.7,0,0,0.0,99.2,0,0,0,0,5035,0,0,0,0,0.0,0,0,0.1,0,-nan,0.0,0,4650,253518,-nan,0,1,0.0,0,0
13,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
14,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
15,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
16,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
17,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,3685,2.8,0,0,0.2,97.1,0,0,0,0,39493,0,957,0,0,0.0,0,0,0.0,0,-nan,0.0,0,17289,187207,-nan,0,1,0.0,0,0
18,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,4924,-nan,0,0,-nan,-nan,0,0,0,0,0,0,470,0,0,0.0,0,0,0.0,0,-nan,0.0,0,15991,104264,-nan,0,0,0.0,0,0
19,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1789,0.5,0,0,0.0,99.4,0,0,0,0,11044,0,114,0,0,0.0,0,0,0.1,0,-nan,0.0,0,8714,152298,-nan,0,1,0.0,0,0
20,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1052,-nan,0,0,-nan,-nan,0,0,0,0,0,0,115,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5642,55297,-nan,0,0,0.0,0,0
21,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,89,-nan,0,0,-nan,-nan,0,0,0,0,0,0,17,0,0,0.0,0,0,0.0,0,-nan,0.0,0,344,0,-nan,0,0,0.0,0,0
22,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
23,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
24,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
25,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,7024,2.6,0,0,0.1,97.3,0,0,0,0,39830,0,564,0,0,0.0,0,0,0.0,0,-nan,0.1,0,33526,291483,-nan,0,1,0.0,0,0
26,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1280,-nan,0,0,-nan,-nan,0,0,0,0,0,0,33,0,0,0.0,0,0,0.0,0,-nan,0.0,0,6684,4,-nan,0,0,0.0,0,0
27,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
28,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,2015,1.4,0,0,0.0,98.5,0,0,0,0,7892,0,40,0,0,0.0,0,0,0.1,0,-nan,0.0,0,8976,191472,-nan,0,1,0.0,0,0
29,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
30,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
31,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
32,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
33,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1776,2.3,0,0,0.0,97.7,0,0,0,0,40136,0,705,0,0,0.0,0,0,0.0,0,-nan,0.0,0,6401,116755,-nan,0,1,0.0,0,0
34,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,4105,-nan,0,0,-nan,-nan,0,0,0,0,0,0,532,0,0,0.0,0,0,0.0,0,-nan,0.0,0,22025,101316,-nan,0,0,0.0,0,0
35,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,1125,-nan,0,0,-nan,-nan,0,0,0,0,0,0,69,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5963,13,-nan,0,0,0.0,0,0
36,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,261,0.8,0,0,0.0,99.1,0,0,0,0,1756,0,52,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1793,57087,-nan,0,1,0.0,0,0
37,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,2015,-nan,0,0,-nan,-nan,0,0,0,0,0,0,112,0,0,0.0,0,0,0.1,0,-nan,0.0,0,8943,163326,-nan,0,0,0.0,0,0
38,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,722,-nan,0,0,-nan,-nan,0,0,0,0,0,0,29,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4044,0,-nan,0,0,0.0,0,0
39,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,251,-nan,0,0,-nan,-nan,0,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1126,0,-nan,0,0,0.0,0,0
40,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
41,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
42,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
43,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
44,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
45,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
46,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
47,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
48,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
49,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
50,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
51,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
52,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
53,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
54,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
55,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
56,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
57,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
58,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
59,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
60,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
61,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
62,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
63,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
64,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
